text,true_label,predicted_label,result,reason
综合布线系统接地装置的接地电阻值要求如下：1 采用共用接地装置时，接地电阻值应不大于1Ω。,direct,direct,正确,"该规范明确规定了接地电阻值的上限（≤1Ω），属于可直接从BIM模型中检查的单一数值型约束，其条件""采用共用接地装置时""仅用于限定应用场景而非推导依据，符合direct类""直接验证显式数值""的典型特征。indirect类样本多涉及空间关系或多参数计算（如高度差、坡度），而此处无需间接推导。"
平台、步道、升降口、吊装孔、闸门井和坑池边等有坠落危险处，应设栏杆或盖板，需登高检查和维修设备处，应有防护设施。,direct,direct,正确,该规范明确要求在有坠落危险处“应设栏杆或盖板”及登高处“应有防护设施”，属于存在性要求，可直接在BIM模型中检查相关实体（栏杆、盖板、防护设施）是否设置，符合direct类直接验证属性的特征。method类侧重于规定具体防护措施的实施方法（如“采取遮栏、栅栏”），而本条款未指定具体措施类型，仅强调必须存在防护实体。
矿井地面生产系统集中控制装置应设有声光兼备的启动预告信号。,direct,direct,正确,该规范明确要求矿井地面生产系统的集中控制装置必须存在“声光兼备的启动预告信号”这一具体功能实体，此信息可直接通过检查BIM模型中是否包含该信号装置来判断是否符合要求，无需施工阶段操作或间接计算，符合direct类直接检查显式属性的核心特征。
建筑物内排出管最小管径不得小于86mm。,direct,direct,正确,该规范明确规定了建筑物内排出管的最小管径数值约束（86mm），此类数值型属性可直接从BIM模型的管道实体属性中检查，属于显式物理参数验证，符合direct类定义。others类样本多涉及施工流程或设备运行参数（如试运转时间、电流限制），与BIM设计阶段的模型属性检查无直接关联。
电炉冶炼噪声的控制宜设置密闭罩或半密闭罩。,direct,direct,正确,"该规范明确要求设置具体的物理构件（密闭罩或半密闭罩），属于直接存在性检查要求，符合direct类""显式属性和实体引用""的核心特征。虽然使用了""宜设置""这一推荐性用语，但并未改变其本质是对具体实体存在性的要求，而method类更强调抽象措施的实施方式（如""采取密封措施""），而非具体构件的直接设置。"
楼梯梯段中间窗及平台处窗，其窗台高度小于0．8m时，应设防护栏杆，且高度应与楼梯栏杆一致。,direct,direct,正确,该规范明确规定了当窗台高度小于0.8m时必须设置防护栏杆，且栏杆高度需与楼梯栏杆一致。此类要求属于直接检查特定数值阈值（0.8m）及是否存在防护栏杆的显式属性，可直接从BIM模型中验证，无需涉及多个实体间的间接计算或推导，因此符合direct类特征。
实验室工作台间通道宽度不应小于1．20m。,direct,direct,正确,"该规范明确规定了实验室工作台间通道宽度的具体下限值（1.20m），该数值可直接从BIM模型的实体属性中验证，无需涉及多实体关联推导或复杂计算，符合direct类""显式属性检查""和""单数字约束""的核心特征，其特性与direct类样本中的通道/净宽数值约束模式完全一致。"
填方路基应优先选用级配较好的砾类土、砂类土等粗粒土作为填料，填料最大粒径应小于150mm。,direct,direct,正确,"该规范的核心约束是""填料最大粒径应小于150mm""，这一具体数值的验证可直接从BIM模型的材料属性中提取，符合direct类中""规范中有具体数字且少于2个""的特征。虽然前半句涉及材料类型选择，但""级配较好""作为描述性条件未引入需要推导的复杂参数，而direct类样例中类似""粒料最大粒径不宜大于50mm""的结构已被正确分类。indirect类的典型特征需要多实体关联计算（如间距、分布模式等），而本规范仅包含单一数值约束，因此属于direct类。"
厂房生产车间、地面应采用耐磨地面，有腐蚀介质的场所应采用防腐蚀地面。,direct,direct,正确,"该规范明确规定了地面材料的类型（耐磨地面/防腐蚀地面），属于可直接从BIM模型实体属性中验证的显式要求，符合direct类""检查显式属性""的核心特征。虽然""应采用""与method类措施表述相似，但内容本质属于材料属性指定而非方法实施，与direct类样例中""防腐蚀地面与墙交接处应设置踢脚板""的显式属性要求特征完全一致。"
疗养院应设置医技用房，根据疗养院的规模、性质，可设置与其匹配的基础检查室及医疗设备用房，可包括检验、X光室、心电图室、超声波室、化验室，根据需要还可设置影像检查、核医学诊断等科室。,direct,direct,正确,该规范明确要求“疗养院应设置医技用房”，属于直接规定特定功能空间存在的条款，能够通过BIM模型直接检查医技用房是否设置，符合direct类“显式属性或实体引用”的核心特征。尽管条款后半部分提及的科室设置具有条件性，但主句的强制性要求属于可直接验证的实体配置，因此属于direct类而非宏观指导的general类。
体育馆或运动员经常出入的门扇净高不应小于2.2m 。,direct,direct,正确,"该规范明确规定了门扇净高的具体数值（2.2m），属于可以直接从BIM模型中检查的单一物理约束，无需结合人体工程学参数进行推导。direct类样例中类似""栏杆高度/楼梯宽度""的单一数值验证场景与此完全匹配，而indirect类涉及的多实体计算或推导特征在本条款中不存在。"
两个路口间的消防车道长度大于300m时，尽头式消防车道应在该消防车道的中段设置回车场。,direct,direct,正确,该规范明确规定了当消防车道长度超过300m时必须在中段设置回车场，这一要求涉及具体的长度阈值（300m）和直接的回车场设置指令，能够通过检查BIM模型中消防车道的长度属性和是否存在回车场实体来直接验证，无需多实体推导或复杂计算，符合direct类特征。
汽车衡两端引道直线段长度不应小于设计的最长一辆车长。,direct,direct,正确,该规范直接规定了引道直线段长度需满足设计车辆长度的明确要求，设计的最长车长作为预设参数可直接从BIM模型中获取并进行数值验证，无需间接计算或推导，符合direct类特征。
不同材料交界处宜附加一层直径为1mm的金属网搭接，金属网宽度宜为200mm～300mm。,direct,direct,正确,该规范明确规定了金属网的具体直径（1mm）和宽度范围（200mm～300mm），这些数值参数均属于对单一实体（金属网）属性的直接约束，能够直接从BIM模型中检查其是否存在及参数是否符合，无需跨实体推导或计算。尽管涉及两个数值，但均为同一实体的属性且无间距/位置关系计算需求，符合direct类特征。
木丝水泥预制保温墙板长度不宜大于6000mm，高度不宜大于4000mm；芯材厚度不宜大于300mm，且不宜小于150mm。,direct,direct,正确,"该规范明确规定了木丝水泥预制保温墙板长度、高度及芯材厚度的具体数值范围（如6000mm、4000mm、300mm/150mm），所有参数均为直接设定的物理尺寸限制，能够直接从BIM模型中检查实体属性是否符合要求，无需推导或计算多个实体间的关联信息。这与direct类样例中""连接铁件厚度不宜小于6mm""等单一维度参数直接验证逻辑一致，而indirect类的典型特征（如涉及配筋率、面积百分比等需间接计算的信息）未在此规范中体现。"
工艺装置内露天布置的塔、容器等设备应设防雷保护设施，当壁厚不小于4mm时，可不设避雷针保护，但应设防雷接地。,direct,direct,正确,该规范明确规定了设备应设置的防雷保护设施及具体壁厚数值（4mm），这些属性和数值可直接从BIM模型中检查获取（如设备属性中的壁厚、防雷设施存在性）。条件判断“当壁厚≥4mm时不设避雷针”属于单一属性的直接阈值判断，无需跨实体推导，符合direct类样例（如全高超过40m时增加绝缘子）的判定逻辑，因此属于direct类。
机物料库内应隔出60m²～100m²作为橡胶辊储存室。,direct,direct,正确,该规范要求机物料库内必须划分特定面积范围的独立功能空间，其核心是明确指定某实体（橡胶辊储存室）的存在性及单一参数约束（面积区间），可直接通过BIM模型检查空间划分属性和尺寸标注是否符合要求，无需多实体关联计算，符合direct类“显式属性检查”和“具体数字少于2个”的核心特征。虽然存在面积区间，但属于同一参数的取值范围，而非涉及多个实体或推导计算的间接信息需求。
快速公交系统的专用车道宽度不应小于6．1m。,direct,direct,正确,该规范明确规定了专用车道宽度的具体数值（6.1m），属于可直接从BIM模型中检查的显式属性，符合direct类“具体数字且信息直接获取”的定义。虽然可能隐含安全参数推导，但分类依据是条款的显式信息表达方式，与direct类样例（如“过道净宽≥1.0m”“出入口宽度≥7m”）高度一致，均直接约束单一实体属性，无需多实体关联计算。indirect类样例（如“间距≥树高1.5倍”）需推导，而此处仅需验证车道宽度数值，故属direct类。
光缆硅芯塑料管道宜使用内壁平滑型塑料管。,direct,direct,正确,"该规范明确指定了光缆硅芯塑料管道的材料类型（内壁平滑型塑料管），属于可直接从BIM模型中检查的实体属性要求，符合direct类""显式属性检查""的核心特征。虽然包含""宜使用""句式，但结合样例池中direct类样本（如""排水管上的阀门应采用钢制闸阀""）表明此类直接指定材料/产品类型的条款属于direct类，无需推导计算，与method类侧重""措施方法""的特征存在本质区别。"
采用热气溶胶预制灭火系统的防护区，其高度不宜大于3．9m。,direct,direct,正确,该规范明确规定了防护区的高度限制（不宜大于3.9m），属于可直接从BIM模型中验证的数值约束。尽管提及“采用热气溶胶预制灭火系统”可能暗示方法选择，但核心约束是单一数值的高度限制，符合direct类“具体数字且可直接检查”的特征（如样例1中的同类结构），而非规定具体措施或方法的method类。
活性氧化铝的粒径应小于 2.5mm ，宜为 0.5～1.5 mm 。,direct,direct,正确,该规范中虽然包含两个数值范围（应小于2.5mm和宜为0.5～1.5mm），但均属于单一实体属性（粒径）的明确限制要求，可直接从BIM模型中提取活性氧化铝的粒径属性进行验证，无需跨实体推导或复杂计算。对比direct类样例（如“粒料最大粒径不宜大于50mm”“内径75mm至90mm”），其核心特征均为对单一属性的直接数值约束，符合direct类定义。而indirect类需要涉及多个实体或推导关系（如间距、搭接长度计算），与本规范直接约束同一属性的特征不符。
舞蹈教室宜采用木地板。,direct,direct,正确,"该规范明确指出舞蹈教室应采用木地板，属于直接指定实体材料的属性要求（木地板存在性），符合direct类""检查是否设置XXX""的核心特征。虽然带有""宜采用""的措辞，但method类样本均涉及具体措施（如排水/吸声/挡水），而木地板是材料选择而非措施方法，且direct类样本中存在类似""应采用钢筋混凝土结构""的句式，因此应归为direct类。"
当采用多振型反应谱法计算时，振型阶数在计算方向给出的有效振型参与质量不应低于该方向结构总质量的90％。,general,general,正确,"该规范主要规定了采用多振型反应谱法时的宏观计算原则（有效振型参与质量占比阈值），属于对结构计算方法的选择和基础参数设置的指导性要求，与general类中""应采用振型分解反应谱法""等样例具有一致的宏观方法论特征。虽然涉及具体数值90%，但该参数是计算方法的固有阈值而非需要从BIM模型间接推导的复合条件，因此不属于indirect类。"
平房仓结构按承载能力极限状态设计时，应采用荷载效应的基本组合和结构抗力设计值进行设计。,general,general,正确,该规范明确规定了平房仓结构在承载能力极限状态设计时应采用的基本荷载组合和抗力设计值，属于对设计方法的宏观指导原则，无需基于BIM模型进行具体参数计算或推导。其表述与general类样例（如“应采用荷载设计值”“应按结构安全级别分别给出”）一致，均是对设计过程的总体要求，而非需要间接推导多实体信息的条件性约束。
车间空气中的粉尘浓度、噪声等物理有害因素的排放应符合国家对工作场所有害因素职业接触限值的有关要求。,general,general,正确,该规范虽提及“符合国家对工作场所有害因素职业接触限值的有关要求”，但未明确引用具体标准名称、编号或附录内容，仅作为宏观合规性要求提出，符合general类“提供宏观指导且无法通过BIM直接验证”的特征。而reference类需明确指向外部资源（如标准号、表格等），本条款未达到该程度。
蓄电池间宜独立设置，蓄电池间的规模应符合磁浮车辆蓄电池检修和充电要求，并应符合车辆基地内配置的其他运输车辆、特种工程车车载蓄电池维护要求。,general,general,正确,该规范主要提出蓄电池间应独立设置及规模需符合多类车辆维护需求的宏观指导，未涉及具体数值或需从BIM模型间接推导的信息，符合general类提供设计原则而非可计算验证的特征，与样例中基于条件综合考量的指导性条款一致。
防静电工作区设计应按薄膜晶体管液晶显示器生产工序要求进行分级。,general,general,正确,该规范提出防静电工作区设计需基于生产工序要求进行分级，属于宏观设计原则指导，未明确具体实施方法或技术措施，符合general类“提供宏观指导”的定义。虽涉及“分级”要求，但未指出具体分级方法或操作步骤（如“采取XX措施”），与method类强调具体方法/措施的特征不符。
