text,predicted_label1,predicted_label2,true_label,result,confusion_point
综合布线系统接地装置的接地电阻值要求如下：1 采用共用接地装置时，接地电阻值应不大于1Ω。,direct,indirect,direct,正确,"该规范可能因为""应不大于1Ω""包含可直接验证的数值要求而被分为direct类；也可能因为""采用共用接地装置时""隐含需要结合接地系统类型进行间接计算的条件而被分为indirect类"
平台、步道、升降口、吊装孔、闸门井和坑池边等有坠落危险处，应设栏杆或盖板，需登高检查和维修设备处，应有防护设施。,direct,method,direct,正确,"该规范可能因为""应设栏杆或盖板""""应有防护设施""等存在性要求对应BIM模型中可直接检查的实体属性被分为direct类；也可能因为""应设""""应有""等措辞指向具体防护措施的实施方法而被分为method类"
矿井地面生产系统集中控制装置应设有声光兼备的启动预告信号。,others,direct,direct,正确,该规范可能因为“矿井地面生产系统集中控制装置”涉及生产系统设备安装场景而被分为others类；也可能因为“应设有声光兼备的启动预告信号”明确要求设置具体功能属性（可直接在BIM模型中检查信号装置存在性）被分为direct类
建筑物内排出管最小管径不得小于86mm。,direct,others,direct,正确,该规范可能因为“最小管径不得小于86mm”对应BIM模型中可直接检查的数值属性被分为direct类；也可能因为“排出管”涉及施工安装标准而被分为others类
电炉冶炼噪声的控制宜设置密闭罩或半密闭罩。,direct,method,direct,正确,"该规范可能因为""密闭罩或半密闭罩""作为具体构件存在性要求被分为direct类；也可能因为""宜设置""属于推荐性控制措施实施方式被分为method类"
楼梯梯段中间窗及平台处窗，其窗台高度小于0．8m时，应设防护栏杆，且高度应与楼梯栏杆一致。,direct,indirect,direct,正确,该规范可能因为提到具体的尺寸“小于0．8m”和直接可见的构件“防护栏杆”而被分为direct类；也可能因为需要基于多个实体（如楼梯梯段、平台、窗户等）及其相互关系进行判断而被分为indirect类。
实验室工作台间通道宽度不应小于1．20m。,direct,indirect,direct,正确,"该规范可能因为""不应小于1．20m""包含可直接验证的数值特征而被分为direct类；也可能因为""通道宽度""需要结合实验室布局参数进行推导验证（如工作台间距与人员流动关系的计算）而被分为indirect类"
填方路基应优先选用级配较好的砾类土、砂类土等粗粒土作为填料，填料最大粒径应小于150mm。,direct,indirect,direct,正确,该规范可能因为“填料最大粒径应小于150mm”包含具体数值的直接验证而被分为direct类；也可能因为“级配较好的砾类土、砂类土等粗粒土作为填料”涉及材料性能的间接判断（需结合粒径分布曲线等综合评估）而被分为indirect类
厂房生产车间、地面应采用耐磨地面，有腐蚀介质的场所应采用防腐蚀地面。,direct,method,direct,正确,"该规范可能因为""应采用耐磨地面""""应采用防腐蚀地面""这类直接属性要求被分为direct类；也可能因为""应""字引导的强制措施表述与""有防腐蚀处理措施""等method类样本特征高度吻合而被分为method类"
疗养院应设置医技用房，根据疗养院的规模、性质，可设置与其匹配的基础检查室及医疗设备用房，可包括检验、X光室、心电图室、超声波室、化验室，根据需要还可设置影像检查、核医学诊断等科室。,direct,general,direct,正确,该规范可能因为提到了具体的设置要求如""医技用房""、""基础检查室及医疗设备用房""等，这些具体内容可以被直接检查而被归类为direct类；也可能因为规范提供了关于疗养院设施设置的总体指导原则，属于宏观设计指导思想，因此被归类为general类。
体育馆或运动员经常出入的门扇净高不应小于2.2m 。,direct,indirect,direct,正确,"该规范可能因为""门扇净高不应小于2.2m""中包含具体数值的直接验证要求被分为direct类；也可能因为该高度限制需要结合""运动员经常出入""的使用场景进行功能推导（如人体工程学参数计算）而被分为indirect类"
两个路口间的消防车道长度大于300m时，尽头式消防车道应在该消防车道的中段设置回车场。,direct,indirect,direct,正确,"该规范可能因为""300m""这一具体数值的存在被误认为BIM模型中可直接验证的阈值而被分为direct类；也可能因为""长度大于300m时...应设置回车场""包含需要根据车道长度进行条件判断的推导过程而被分为indirect类"
汽车衡两端引道直线段长度不应小于设计的最长一辆车长。,direct,indirect,direct,正确,该规范可能因为“不应小于设计的最长一辆车长”包含可直接验证的长度比较而被分为direct类；也可能因为“设计的最长一辆车长”需要基于车辆参数进行推导计算而被分为indirect类
不同材料交界处宜附加一层直径为1mm的金属网搭接，金属网宽度宜为200mm～300mm。,direct,indirect,direct,正确,"该规范可能因为""直径为1mm的金属网""和""宽度200mm～300mm""的具体数值参数符合direct类直接检查特征而被分为direct类；也可能因为""不同材料交界处宜附加""包含需推导的材料界面处理要求，且数值范围需结合工程实际判断而被分为indirect类"
木丝水泥预制保温墙板长度不宜大于6000mm，高度不宜大于4000mm；芯材厚度不宜大于300mm，且不宜小于150mm。,direct,indirect,direct,正确,"该规范可能因为""不宜大于6000mm/4000mm/300mm""等具体数值限制被误判为可直接验证的direct类；也可能因同时包含长度、高度、厚度三个维度的参数限制需要综合判断而被分为indirect类"
工艺装置内露天布置的塔、容器等设备应设防雷保护设施，当壁厚不小于4mm时，可不设避雷针保护，但应设防雷接地。,direct,indirect,direct,正确,"该规范可能因为""壁厚不小于4mm""等具体数值指标和""应设防雷保护设施""的显式属性要求被分为direct类；也可能因为""当壁厚不小于4mm时，可不设避雷针保护""包含需条件判断的复合逻辑（需结合设备参数进行推导）被分为indirect类"
机物料库内应隔出60m²～100m²作为橡胶辊储存室。,indirect,direct,direct,正确,"该规范可能因为""隔出60m²～100m²""涉及面积范围推导而被分为indirect类；也可能因为""应隔出...作为橡胶辊储存室""直接对应BIM模型中可检查的空间划分属性且数值区间属于单一参数而被分为direct类。"
快速公交系统的专用车道宽度不应小于6．1m。,direct,indirect,direct,正确,"该规范可能因为""专用车道宽度不应小于6．1m""中的具体数值直接可查而被分为direct类；也可能因为该数值隐含车道安全系数计算或车辆动态包络线推导需求（如参照BRT车辆标准参数）被分为indirect类"
光缆硅芯塑料管道宜使用内壁平滑型塑料管。,direct,method,direct,正确,"该规范可能因为""宜使用内壁平滑型塑料管""中的材料属性要求（直接可查的管道类型）被分为direct类；也可能因为""宜使用""句式符合措施建议特征（对应method类样本中""宜采用架空敷设方式""""宜选用光管加热器""等同类表达模式）被分为method类"
采用热气溶胶预制灭火系统的防护区，其高度不宜大于3．9m。,direct,method,direct,正确,"该规范可能因为""采用热气溶胶预制灭火系统""中的系统选用描述被分为method类；也可能因为""高度不宜大于3．9m""包含可直接验证的数值限制被分为direct类"
活性氧化铝的粒径应小于 2.5mm ，宜为 0.5～1.5 mm 。,direct,indirect,direct,正确,"该规范可能因为""粒径应小于2.5mm""的单一数值限制被分为direct类；也可能因为""0.5～1.5mm""的数值区间要求需要结合BIM模型数据推导验证而被分为indirect类"
舞蹈教室宜采用木地板。,direct,method,direct,正确,"该规范可能因为""舞蹈教室宜采用木地板""明确指定具体材料属性（木地板存在性）而被分为direct类；也可能因为""宜采用""属于设计措施建议（与method类样本""地面应做排水措施""中的措施描述模式相似）而被分为method类"
当采用多振型反应谱法计算时，振型阶数在计算方向给出的有效振型参与质量不应低于该方向结构总质量的90％。,general,indirect,general,正确,"该规范可能因为""当采用多振型反应谱法计算时""的宏观计算方法描述被分为general类；也可能因为""有效振型参与质量不应低于...90%""包含需通过计算验证的精确质量比例参数（涉及多振型参与质量与总质量的关系推导）被分为indirect类"
平房仓结构按承载能力极限状态设计时，应采用荷载效应的基本组合和结构抗力设计值进行设计。,general,indirect,general,正确,该规范可能因为“应采用荷载效应的基本组合和结构抗力设计值”的宏观设计原则表述被分为general类；也可能因为“承载能力极限状态设计”需要结合具体荷载组合和抗力参数进行间接计算被分为indirect类
车间空气中的粉尘浓度、噪声等物理有害因素的排放应符合国家对工作场所有害因素职业接触限值的有关要求。,general,reference,general,正确,"该规范可能因为""应符合...有关要求""的宏观表述被分为general类；也可能因为""国家对工作场所有害因素职业接触限值""明确指向外部标准引用而被分为reference类"
蓄电池间宜独立设置，蓄电池间的规模应符合磁浮车辆蓄电池检修和充电要求，并应符合车辆基地内配置的其他运输车辆、特种工程车车载蓄电池维护要求。,general,indirect,general,正确,该规范可能因为“蓄电池间宜独立设置”的指导性描述被分为general类；也可能因为“规模应符合磁浮车辆...维护要求”涉及多维度维护需求的计算推导被分为indirect类
防静电工作区设计应按薄膜晶体管液晶显示器生产工序要求进行分级。,general,method,general,正确,该规范可能因为“应按...生产工序要求进行分级”中的宏观设计原则表述被分为general类；也可能因为“防静电工作区设计应按...进行分级”隐含具体分级方法要求被分为method类
斜壁边坡的设计内容应包括确保边坡稳定的人工加强措施选择、坡体稳定与加强措施的计算和构造、斜壁面层及构件计算与构造、施工技术要求、监测及监测项目报警值要求、监测频率与持续时间要求，以及使用过程中维护和长期监测要求。,general,others,general,正确,该规范可能因为“设计内容应包括确保边坡稳定的人工加强措施选择、坡体稳定与加强措施的计算和构造”等宏观设计框架描述而被分为general类；也可能因为“施工技术要求、监测及监测项目报警值要求、使用过程中维护和长期监测要求”明确涉及施工过程和维护场景而被分为others类
抗震设计时，结构设计应符合抗震概念设计的要求，厂房结构体系和结构布置除应符合本规范第3．2．3条的规定外，尚应符合下列规定：1 结构体系和结构布置应满足规则性要求。,reference,general,general,正确,"该规范可能因为""应符合本规范第3．2．3条""的条款引用特征被分为reference类；也可能因为""应满足规则性要求""的宏观结构设计指导特征被分为general类。"
在同一沟谷内建设两座或两座以上赤泥堆场时，后建堆场设计时应论证各堆场之间的相互关系与影响。,general,indirect,general,正确,该规范可能因为“建设两座或两座以上赤泥堆场时”的宏观场景描述被分为general类；也可能因为“论证各堆场之间的相互关系与影响”需要多因素推导分析被分为indirect类
线路平面曲线半径应根据线路性质、行车速度、工程难易程度，并结合周边环境因地制宜地合理选用。,general,indirect,general,正确,"该规范可能因为""应根据线路性质、行车速度、工程难易程度""等宏观决策要素被分为general类；也可能因为""结合周边环境因地制宜地合理选用""需要综合多因素推导的参数选择过程被分为indirect类"
安全设计应包括校园内防火、防灾、安防设施、通行安全、餐饮设施安全、环境安全等方面的设计。,general,method,general,正确,"该规范可能因为""应包含...等方面的设计""的宏观描述被分为general类；也可能因为""应包括防火、防灾、安防设施...""等具体设计要点的罗列式表述被误判为method类（method类样本多含""应设置/采取...措施""的结构性特征）"
