text,true_label,predicted_label,result,reason
综合布线系统接地装置的接地电阻值要求如下：1 采用共用接地装置时，接地电阻值应不大于1Ω。,direct,direct,正确,该规范明确指出综合布线系统接地装置的接地电阻值要求，不涉及到多个实体间的距离或位置的计算或推导，而是直接给出了具体的电阻值要求，能够直接在BIM模型中检查，因此属于direct类。
平台、步道、升降口、吊装孔、闸门井和坑池边等有坠落危险处，应设栏杆或盖板，需登高检查和维修设备处，应有防护设施。,direct,direct,正确,该规范明确指出具体的安全设施设置要求，如“应设栏杆或盖板”，这些要求能够直接从BIM模型中检查，因此属于direct类。
矿井地面生产系统集中控制装置应设有声光兼备的启动预告信号。,direct,direct,正确,该规范明确指出设备必须具有特定的功能特性（声光兼备的启动预告信号），这种明确的功能要求可直接从BIM模型中检查，属于direct类。
建筑物内排出管最小管径不得小于86mm。,direct,direct,正确,规范明确指出建筑物内排出管的最小管径不得小于86mm，这是一种具体的物理约束要求，能够直接从BIM模型中检查是否满足，这符合direct类的特征。
电炉冶炼噪声的控制宜设置密闭罩或半密闭罩。,direct,direct,正确,该规范明确指出“宜设置密闭罩或半密闭罩”，这是一种具体的设置要求，而不是规定了应采取的方法或措施，能够直接从BIM模型中检查是否已按要求设置，因此属于direct类而非method类。
楼梯梯段中间窗及平台处窗，其窗台高度小于0．8m时，应设防护栏杆，且高度应与楼梯栏杆一致。,direct,direct,正确,该规范明确指出“窗台高度小于0．8m”时应设防护栏杆，这是一个具体的构件或属性存在的要求，属于能够直接从BIM模型中检查获取的信息，不需要基于多个实体及其相互关系进行判断，因此属于direct类。
实验室工作台间通道宽度不应小于1．20m。,direct,direct,正确,根据定义，direct类涉及检查BIM数据集内存在的显式属性和实体引用，信息可以直接从模型、实体或其他实体的关联属性中获得。该规范明确规定了实验室工作台间通道宽度的最小值（不应小于1．20m），这是一个具体的物理约束，能够直接从BIM模型中检查是否已满足，因此属于direct类。
填方路基应优先选用级配较好的砾类土、砂类土等粗粒土作为填料，填料最大粒径应小于150mm。,direct,direct,正确,该规范明确规定了填方路基的材料选择和粒径限制，这些信息可以直接从BIM模型中检查，因此属于direct类。
厂房生产车间、地面应采用耐磨地面，有腐蚀介质的场所应采用防腐蚀地面。,direct,direct,正确,该规范明确规定了地面类型（耐磨地面、防腐蚀地面），这些类型对应BIM模型中可直接检查的具体功能属性，不需要经过间接计算或推导，因此属于direct类。
疗养院应设置医技用房，根据疗养院的规模、性质，可设置与其匹配的基础检查室及医疗设备用房，可包括检验、X光室、心电图室、超声波室、化验室，根据需要还可设置影像检查、核医学诊断等科室。,direct,direct,正确,该规范主要是规定了“疗养院”中应设置的特定空间或功能，这些信息能够直接从BIM模型中检查，属于direct类的特征，而不是提供宏观的指导原则，属于general类的特征。
体育馆或运动员经常出入的门扇净高不应小于2.2m 。,direct,direct,正确,这个规范规定了体育馆或运动员经常出入的门扇净高不应小于2.2m，这是一种明确的物理要求，能够直接从BIM模型中检查是否满足，不需要进行任何间接计算或推导，因此属于direct类。
两个路口间的消防车道长度大于300m时，尽头式消防车道应在该消防车道的中段设置回车场。,direct,direct,正确,该规范明确规定了“两个路口间的消防车道长度大于300m时，尽头式消防车道应在该消防车道的中段设置回车场”，这表明了具体的物理布局要求，能够直接从BIM模型中检查是否满足该要求，因此属于direct类。
汽车衡两端引道直线段长度不应小于设计的最长一辆车长。,direct,direct,正确,文本明确指出“汽车衡两端引道直线段长度不应小于设计的最长一辆车长”，这是一个具体的物理空间限制，涉及到尺寸的比较和限定，能够直接从BIM模型中检查，因此属于direct类，而非general类。
不同材料交界处宜附加一层直径为1mm的金属网搭接，金属网宽度宜为200mm～300mm。,direct,direct,正确,根据定义，direct类通常涉及检查给定BIM数据集内存在的显式属性和实体引用，文本中“不同材料交界处宜附加一层直径为1mm的金属网搭接，金属网宽度宜为200mm～300mm”明确规定了BIM模型中具体的实体属性和尺寸限制，因此属于direct类。
木丝水泥预制保温墙板长度不宜大于6000mm，高度不宜大于4000mm；芯材厚度不宜大于300mm，且不宜小于150mm。,direct,direct,正确,该规范明确规定了木丝水泥预制保温墙板的尺寸限制，包括长度、高度和芯材厚度，这些尺寸限制直接对应于具体的构件或实体的尺寸要求，因此属于direct类。
工艺装置内露天布置的塔、容器等设备应设防雷保护设施，当壁厚不小于4mm时，可不设避雷针保护，但应设防雷接地。,direct,direct,正确,根据direct类的定义，该规范明确规定了“工艺装置内露天布置的塔、容器等设备应设防雷保护设施”，这是直接指明了设备必须具备的特定属性或功能，能够直接从BIM模型中检查，因此属于direct类。
机物料库内应隔出60m²～100m²作为橡胶辊储存室。,direct,direct,正确,该规范明确指出机物料库内必须存在一个面积明确的橡胶辊储存空间，这种明确的功能空间设置要求可直接从BIM模型中检查，不需要经过间接计算或推导，因此属于direct类而非indirect类。
快速公交系统的专用车道宽度不应小于6．1m。,direct,direct,正确,该规范明确指出快速公交系统的专用车道宽度不应小于6．1m，这是一种明确的实体尺寸要求，能够直接从BIM模型中检查，因此属于direct类。
光缆硅芯塑料管道宜使用内壁平滑型塑料管。,direct,direct,正确,根据direct类的定义，文本明确指出“光缆硅芯塑料管道宜使用内壁平滑型塑料管”，这是一条关于管道材料和内部表面要求的具体规定，属于能够直接从BIM模型中检查获取的信息，不需要经过间接计算或推导。
采用热气溶胶预制灭火系统的防护区，其高度不宜大于3．9m。,direct,direct,正确,该规范明确指出“采用热气溶胶预制灭火系统的防护区，其高度不宜大于3．9m”，这是一个直接规定了特定功能空间的物理属性的要求，可以直接从BIM模型中检查，不需要经过间接计算或推导，因此属于direct类。
活性氧化铝的粒径应小于 2.5mm ，宜为 0.5～1.5 mm 。,direct,direct,正确,根据direct类的定义，提供的样本均为明确规定某种物理属性或特性“应/宜”为特定值，如“粒径不宜大于50mm”等，这与待分类文本“活性氧化铝的粒径应小于2.5mm，宜为0.5～1.5mm”相符，属于能够直接从BIM模型中检查获取的信息，因此属于direct类。
舞蹈教室宜采用木地板。,direct,direct,正确,规范明确指出“舞蹈教室宜采用木地板”，这是一个明确的硬性要求，而非一种推荐性的方法或措施，可以直接在BIM模型中检查是否符合该要求，因此属于direct类。
当采用多振型反应谱法计算时，振型阶数在计算方向给出的有效振型参与质量不应低于该方向结构总质量的90％。,general,general,正确,本规范明确指出在采用多振型反应谱法计算时，振型阶数在计算方向给出的有效振型参与质量不应低于该方向结构总质量的90％，这是一种宏观指导性的要求，不涉及具体的计算或推导过程，因此属于general类，而非indirect类。
平房仓结构按承载能力极限状态设计时，应采用荷载效应的基本组合和结构抗力设计值进行设计。,general,general,正确,该规范属于general类的特征是提供设计过程的宏观指导，而非直接提供具体的计算或检查要求。文本“平房仓结构按承载能力极限状态设计时，应采用荷载效应的基本组合和结构抗力设计值进行设计”属于对设计过程的指导性要求，未涉及具体的计算或检查要求，因此属于general类。
车间空气中的粉尘浓度、噪声等物理有害因素的排放应符合国家对工作场所有害因素职业接触限值的有关要求。,general,general,正确,该规范主要给出设计过程的宏观指导，强调了对设计的总体要求，没有具体的计算或参考内容，因此属于general类而非reference类。
蓄电池间宜独立设置，蓄电池间的规模应符合磁浮车辆蓄电池检修和充电要求，并应符合车辆基地内配置的其他运输车辆、特种工程车车载蓄电池维护要求。,general,general,正确,该规范主要提供了总体的设计原则和要求，如“蓄电池间的规模应符合磁浮车辆蓄电池检修和充电要求”，而不是具体的空间布局和功能要求，因此更符合general类的特征。
