text,true_label,predicted_label,result,reason
综合布线系统接地装置的接地电阻值要求如下：1 采用共用接地装置时，接地电阻值应不大于1Ω。,direct,direct,正确,该规范明确指出了接地电阻值的具体数值要求（不大于1Ω），这是一个可以直接从BIM模型中检查的明确物理参数，类似于直接检查接地体电阻值、材料厚度等具体数值的规范，因此属于direct类。
平台、步道、升降口、吊装孔、闸门井和坑池边等有坠落危险处，应设栏杆或盖板，需登高检查和维修设备处，应有防护设施。,direct,direct,正确,该规范明确指出了在特定位置（平台、步道、升降口等）应设栏杆或盖板，并且在需要登高检查和维修设备的地方应有防护设施，这些都是可以直接在BIM模型中检查的实体设置要求，类似于direct类的样例，无需额外的推导或计算。
矿井地面生产系统集中控制装置应设有声光兼备的启动预告信号。,direct,direct,正确,尽管规范提到“矿井地面生产系统集中控制装置”，容易让人联想到施工或维护过程，但核心要求是“应设有声光兼备的启动预告信号”，这是一个明确的属性要求，可以直接在BIM模型中检查是否满足，符合direct类的特征。
建筑物内排出管最小管径不得小于86mm。,direct,direct,正确,该规范明确指出了建筑物内排出管的最小管径不得小于86mm，这是一个可以直接从BIM模型中检查的属性，无需进行额外的计算或推导，符合direct类的特征。
电炉冶炼噪声的控制宜设置密闭罩或半密闭罩。,direct,direct,正确,尽管规范使用了“宜设置”的措辞，类似于method类的建议性措施，但从内容上看，它明确了需要在电炉冶炼噪声控制上设置密闭罩或半密闭罩，这种具体的构造措施可以直观地在BIM模型中进行检查，符合direct类的定义。
楼梯梯段中间窗及平台处窗，其窗台高度小于0．8m时，应设防护栏杆，且高度应与楼梯栏杆一致。,direct,direct,正确,尽管规范提到了具体的尺寸要求“小于0．8m”，但主要目的是检查是否在特定条件下设置了防护栏杆，并且该防护栏杆的高度需与楼梯栏杆一致，这些都是可以直接从BIM模型中检查确认的信息，因此归类为direct类。
实验室工作台间通道宽度不应小于1．20m。,direct,direct,正确,尽管规范中提到了具体的尺寸“1．20m”，但该尺寸是直接规定了实验室工作台间通道的最小宽度要求，可以直接从BIM模型中检查是否达到此宽度标准，无需额外的推导或计算。因此，该规范属于direct类。
填方路基应优先选用级配较好的砾类土、砂类土等粗粒土作为填料，填料最大粒径应小于150mm。,direct,direct,正确,该规范明确指定了填方路基的填料类型及其最大粒径，这些都是可以直接从BIM模型中检查的属性或实体特性，无需额外的推导或计算。因此，该规范符合direct类的特征。
厂房生产车间、地面应采用耐磨地面，有腐蚀介质的场所应采用防腐蚀地面。,direct,direct,正确,尽管规范提到了应采取的措施，但核心在于明确规定了厂房生产车间地面应采用的具体类型（耐磨地面或防腐蚀地面），这种明确的材质要求可以直接从BIM模型中检查，符合direct类的定义，而不涉及具体的方法或步骤。
疗养院应设置医技用房，根据疗养院的规模、性质，可设置与其匹配的基础检查室及医疗设备用房，可包括检验、X光室、心电图室、超声波室、化验室，根据需要还可设置影像检查、核医学诊断等科室。,direct,direct,正确,尽管规范提供了关于疗养院设施设置的总体指导原则，但它也明确提到了具体的设置要求，如“医技用房”、“基础检查室及医疗设备用房”等，这些具体内容可以直接在BIM模型中进行检查，符合direct类的定义。
体育馆或运动员经常出入的门扇净高不应小于2.2m 。,direct,direct,正确,该规范明确指定了门扇净高的最小值（2.2m），类似于直接类别的其他样本，例如栏杆和围墙的高度要求，这些要求都是可以直接从BIM模型中检查的明确物理尺寸，无需额外的计算或推导。因此，该规范属于direct类。
两个路口间的消防车道长度大于300m时，尽头式消防车道应在该消防车道的中段设置回车场。,direct,direct,正确,尽管规范中提到了“消防车道长度大于300m时”的具体条件，但该条件下的要求是“尽头式消防车道应在该消防车道的中段设置回车场”，这是一个可以直接从BIM模型中检查的设置要求，符合direct类的特征。
汽车衡两端引道直线段长度不应小于设计的最长一辆车长。,direct,indirect,错误,尽管规范提到了具体的长度要求“不应小于设计的最长一辆车长”，但这一要求涉及到对设计车辆长度的计算和判断，而不是简单的空间尺寸或位置的直接检查。因此，该规范需要间接地从BIM模型中获取相关车辆的设计数据进行计算，符合indirect类的特征。
不同材料交界处宜附加一层直径为1mm的金属网搭接，金属网宽度宜为200mm～300mm。,direct,direct,正确,尽管规范提到不同材料交界处的附加金属网，但主要描述的是金属网的具体尺寸和直径要求，这些信息可以直接从BIM模型中检查和验证，符合direct类的特征。
木丝水泥预制保温墙板长度不宜大于6000mm，高度不宜大于4000mm；芯材厚度不宜大于300mm，且不宜小于150mm。,direct,direct,正确,该规范明确了木丝水泥预制保温墙板的具体尺寸限制，包括长度、高度和芯材厚度的具体数值，这些都是可以直接从BIM模型中检查得到的信息，无需进一步的推导或计算，因此属于direct类。
工艺装置内露天布置的塔、容器等设备应设防雷保护设施，当壁厚不小于4mm时，可不设避雷针保护，但应设防雷接地。,direct,direct,正确,该规范明确指出了工艺装置内露天布置的塔、容器等设备应设防雷保护设施，并且具体说明了壁厚不小于4mm时可不设避雷针保护但应设防雷接地，这些都是可以直接从BIM模型中检查和验证的明确属性和实体设置要求，符合direct类的定义。虽然涉及到壁厚判断条件，但这并不需要复杂的推导和计算，而是一个可以直接检验的物理属性。
机物料库内应隔出60m²～100m²作为橡胶辊储存室。,direct,direct,正确,尽管规范中涉及具体面积（60m²～100m²），但该面积仅作为划分空间的尺寸要求，而非涉及多个实体间距离或位置的计算或推导。文本明确指出“机物料库内应隔出特定面积作为橡胶辊储存室”，这种明确的功能空间设置要求可以直接从BIM模型中检查，因此属于direct类。
快速公交系统的专用车道宽度不应小于6．1m。,direct,direct,正确,该规范明确规定了快速公交系统专用车道的最小宽度要求（不应小于6.1m），这一具体宽度要求可以直接从BIM模型中检查，无需进行额外的推导或计算，因此属于direct类。
光缆硅芯塑料管道宜使用内壁平滑型塑料管。,direct,direct,正确,尽管规范使用了“宜使用”的措辞，但其主要描述了光缆硅芯塑料管道应采用的类型，即“内壁平滑型塑料管”，这一描述可以直接从BIM模型中检查是否存在和符合要求，因此更符合direct类的特征。
采用热气溶胶预制灭火系统的防护区，其高度不宜大于3．9m。,direct,direct,正确,该规范明确指定了采用热气溶胶预制灭火系统的防护区的高度限制，这一具体高度要求可以直接从BIM模型中检查，无需进一步推导或计算，因此属于direct类。
活性氧化铝的粒径应小于 2.5mm ，宜为 0.5～1.5 mm 。,direct,direct,正确,尽管规范中提到了具体的尺寸范围，但这些尺寸范围是直接应用于活性氧化铝粒径的要求，可以明确地在BIM模型中进行检查以确认是否符合规定，无需进行额外的计算或推导，因此属于direct类。
舞蹈教室宜采用木地板。,direct,direct,正确,尽管规范使用了“宜采用”的措辞，但其核心内容是关于舞蹈教室地面材料的选择，这与direct类样本相似，即明确规定了某空间或实体应具备的具体物理属性，可以直接从BIM模型中检查是否符合该要求。
当采用多振型反应谱法计算时，振型阶数在计算方向给出的有效振型参与质量不应低于该方向结构总质量的90％。,general,general,正确,尽管该规范涉及到具体的计算要求，但其主要目的是提供一种宏观的指导原则，即在采用多振型反应谱法计算时应遵循的有效振型参与质量的标准，这与general类的定义相符，即为设计过程提供宏观指导，而不是直接从BIM模型中提取或需通过推导计算得出的信息。
平房仓结构按承载能力极限状态设计时，应采用荷载效应的基本组合和结构抗力设计值进行设计。,general,general,正确,该规范提供了关于平房仓结构设计时应遵循的设计原则和方法，即采用荷载效应的基本组合和结构抗力设计值进行设计，这是一个宏观的设计指导思想，类似于general类别的其他样例，如承载力计算和目标可靠指标的规定，而不是具体的数值计算或推导，因此更适合归类为general类。
车间空气中的粉尘浓度、噪声等物理有害因素的排放应符合国家对工作场所有害因素职业接触限值的有关要求。,general,general,正确,尽管该规范提到需符合国家对工作场所有害因素职业接触限值的有关要求，类似于reference类中引用具体标准的情况，但该规范并没有明确指出具体的国家标准或附录名称，而是提供了一个宏观的指导原则，强调应符合国家相关要求，这更符合general类的定义，即为设计过程提供宏观指导。
蓄电池间宜独立设置，蓄电池间的规模应符合磁浮车辆蓄电池检修和充电要求，并应符合车辆基地内配置的其他运输车辆、特种工程车车载蓄电池维护要求。,general,general,正确,该规范主要提出了关于蓄电池间设计的总体原则和要求，如“蓄电池间的规模应符合磁浮车辆蓄电池检修和充电要求，并应符合车辆基地内配置的其他运输车辆、特种工程车车载蓄电池维护要求”。这些要求并未涉及到具体的数值计算或多个实体间的间接关系推导，而是宏观的设计指导，因此更符合general类的定义。
防静电工作区设计应按薄膜晶体管液晶显示器生产工序要求进行分级。,general,general,正确,该规范提供了关于防静电工作区设计应如何根据薄膜晶体管液晶显示器生产工序要求进行分级的宏观指导，类似于general类样本中的总平面布置应结合工艺系统要求进行防火区域划分或洁净厂房布局需根据生产要求确定等指导性描述。而reference类的样本通常涉及引用具体的国家标准、规定或图表，该规范并未明确提及需要参考具体的外部文档或标准。因此，该规范更符合general类的特征。
斜壁边坡的设计内容应包括确保边坡稳定的人工加强措施选择、坡体稳定与加强措施的计算和构造、斜壁面层及构件计算与构造、施工技术要求、监测及监测项目报警值要求、监测频率与持续时间要求，以及使用过程中维护和长期监测要求。,general,general,正确,该规范提供了关于斜壁边坡设计内容的宏观指导，涵盖了一系列的设计要素和要求，类似于general类别的样本，如保护措施、治理顺序和环境协调等宏观指导内容。尽管规范中提到一些需要推导和计算的内容，但整体来看，它更像是对设计内容的总体指导，而不是具体从BIM模型中提取和推导某个特定参数的要求。因此，它更符合general类别的定义。
抗震设计时，结构设计应符合抗震概念设计的要求，厂房结构体系和结构布置除应符合本规范第3．2．3条的规定外，尚应符合下列规定：1 结构体系和结构布置应满足规则性要求。,general,general,正确,尽管该规范提到需要参照其他条款（如“符合本规范第3．2．3条的规定”），但主要强调的是宏观的设计指导原则，特别是“结构设计应符合抗震概念设计的要求”和“结构体系和结构布置应满足规则性要求”，这些内容提供了宏观层面的设计要求和指导，符合general类的特征。
在同一沟谷内建设两座或两座以上赤泥堆场时，后建堆场设计时应论证各堆场之间的相互关系与影响。,general,general,正确,尽管规范涉及对多个堆场之间相互关系与影响的论证，但此要求更多是一种宏观的设计指导原则，旨在确保设计过程中考虑到不同堆场之间的相互作用，而不是具体从BIM模型中直接获取信息并进行推导计算的任务。因此，它更适合归类为general类。
线路平面曲线半径应根据线路性质、行车速度、工程难易程度，并结合周边环境因地制宜地合理选用。,general,general,正确,该规范提出了宏观的设计指导原则，强调根据多种因素如线路性质、行车速度、工程难易程度及周边环境等进行综合考量，合理选用线路平面曲线半径。这种宏观的设计指导思想符合general类的定义，而未提及引用特定的表格、公式或外部资料，因此不属于reference类。
