text,true_label,predicted_label,result,reason
综合布线系统接地装置的接地电阻值要求如下：1 采用共用接地装置时，接地电阻值应不大于1Ω。,direct,direct,正确,该规范明确规定了“接地电阻值应不大于1Ω”这一具体数值要求（仅含单个数值指标），符合direct类“规范中有具体数字且少于2个”的核心特征。direct类的相似样本如“室外综合接地体电阻值不应大于1Ω”和“防洪堤坝的安全高度...不应小于0.5m”均直接关联可量化的模型属性，而测试文本未涉及推导、方法或外部引用，与direct类样本的显式数值检查逻辑完全一致。
平台、步道、升降口、吊装孔、闸门井和坑池边等有坠落危险处，应设栏杆或盖板，需登高检查和维修设备处，应有防护设施。,direct,method,错误,该规范明确要求在有坠落危险处“应设栏杆或盖板”以及登高检查处“应有防护设施”，直接规定了具体的防护措施，符合method类中“应/宜采取...措施”的典型特征，与method类样本中“应采取遮栏、栅栏等屏护措施”等结构高度一致。
矿井地面生产系统集中控制装置应设有声光兼备的启动预告信号。,direct,direct,正确,"该规范可能因为“应设有声光兼备的启动预告信号”对应BIM模型中可直接检查的具体功能属性被分为direct类，符合该类直接检查显式属性的定义，且其结构与direct类样本中""应设置正常照明/检修平台""等具体设施设置要求高度一致。"
建筑物内排出管最小管径不得小于86mm。,direct,direct,正确,该规范明确规定了排出管的最小管径（86mm），属于可直接在BIM模型中检查的数值属性，符合direct类中“具体数字且少于2个”的特征，且其Top5相似样本均为直接检查具体数值的条款。
电炉冶炼噪声的控制宜设置密闭罩或半密闭罩。,direct,method,错误,该规范提及“宜设置密闭罩或半密闭罩”，强调具体的噪声控制措施，符合method类中“规定采取的方法或措施”的特点，且与method类的样本（如“应采取密闭的隔音措施”、“采取隔声、吸声措施”）结构一致。
楼梯梯段中间窗及平台处窗，其窗台高度小于0．8m时，应设防护栏杆，且高度应与楼梯栏杆一致。,direct,direct,正确,该规范涉及具体数值“0.8m”且仅包含一个具体数字，符合direct类“检查显式属性”的特征，其内容可直接通过BIM模型验证窗台高度及防护栏杆的存在性。
实验室工作台间通道宽度不应小于1．20m。,direct,direct,正确,该规范涉及具体的数值要求“1．20m”，符合direct类中“规范中有具体数字（0-9）且少于2个”的特征，且其对应的相似样本（如“通道宽度不应小于1．20m”）均属于通过BIM模型直接检查实体属性的典型direct类条款。
填方路基应优先选用级配较好的砾类土、砂类土等粗粒土作为填料，填料最大粒径应小于150mm。,direct,direct,正确,"该规范明确要求填料的类型（砾类土、砂类土）和具体数值限制（最大粒径小于150mm），这与direct类定义中""检查显式属性""及样本中直接涉及粒径、厚度等单数值约束（如""粒料最大粒径不宜大于50mm""）的特征一致，符合直接从BIM模型中验证实体属性的标准。"
厂房生产车间、地面应采用耐磨地面，有腐蚀介质的场所应采用防腐蚀地面。,direct,method,错误,该规范条文“应采用耐磨地面”“应采用防腐蚀地面”属于明确要求采取特定材料措施，符合method类“应/宜采取/采用xxx方法/措施”的核心特征，且与method类样本中“应有防腐蚀处理措施”“应采取保温、防潮措施”等表述逻辑一致。
疗养院应设置医技用房，根据疗养院的规模、性质，可设置与其匹配的基础检查室及医疗设备用房，可包括检验、X光室、心电图室、超声波室、化验室，根据需要还可设置影像检查、核医学诊断等科室。,direct,direct,正确,该规范明确要求设置医技用房及具体科室（如检验、X光室等），这些均属于BIM模型中可直接检查的实体属性，符合direct类“显式属性与实体引用”的核心特征。虽然存在“根据疗养院规模”的条件限制，但条款主体仍聚焦于可直接映射到模型构件的基础检查室、医疗设备用房等具体空间要求，与direct类样本中设置检修平台、防火门等逻辑一致。
